,High cloud cover,Low cloud cover,Medium cloud cover,Pressure,Pressure reduced to MSL,Relative humidity,Temperature,Total cloud cover,Total precipitation,u-component of wind,v-component of wind
20150101080000,0.0,21.435546875,32.2998046875,102443.56689453125,102462.79296875,71.58607196807861,288.8397979736328,32.275390625,0.0,3.652223587036133,-12.78875732421875
20150101130000,0.0,27.099609375,49.90234375,102564.14184570312,102589.29443359375,71.78216552734375,288.7107696533203,49.90234375,0.0,0.7721052169799805,-12.259807586669922
20150101120000,0.0,25.146484375,45.556640625,102568.78662109375,102597.16796875,71.98817443847656,288.6947937011719,45.556640625,0.0,1.2732172012329102,-12.982057571411133
20150101070000,0.0,19.677734375,29.9072265625,102334.05151367188,102354.08935546875,71.77693271636963,288.9104461669922,29.8828125,0.0,3.9673614501953125,-12.673746109008789
20150101040000,0.0,28.0517578125,31.4453125,102397.54028320312,102424.89624023438,70.32218170166016,289.2892150878906,31.73828125,0.0,4.61503791809082,-12.538511276245117
20150101060000,0.0,23.14453125,33.7890625,102325.50048828125,102349.74365234375,72.08137035369873,288.99656677246094,33.7890625,0.0,4.772067070007324,-13.038021087646484
20150101150000,0.0,31.34765625,58.69140625,102578.6865234375,102595.59936523438,73.24549865722656,288.74061584472656,58.69140625,0.0,0.6752834320068359,-9.986856460571289
20150101090000,0.0,20.166015625,27.9541015625,102491.55883789062,102511.962890625,71.91788864135742,288.7920227050781,27.978515625,0.0,2.907273292541504,-12.957637786865234
20150101170000,0.0,22.900390625,25.5859375,102484.05151367188,102502.74047851562,73.53356456756592,288.8390655517578,25.732421875,0.0,-0.20124340057373047,-9.575541496276855
20150101050000,0.0,26.171875,43.06640625,102316.71752929688,102339.16015625,71.16578960418701,289.1411590576172,43.06640625,0.0,5.026188850402832,-12.122716903686523
20150101180000,0.0,24.90234375,30.615234375,102448.86474609375,102466.74194335938,73.83903312683105,288.9851837158203,30.615234375,,-0.16389846801757812,-9.138465881347656
20150101140000,0.0,30.224609375,55.029296875,102565.22216796875,102582.75756835938,72.43801689147949,288.75440979003906,55.029296875,0.0,0.5531511306762695,-11.474544525146484
20150101030000,0.0,26.708984375,24.51171875,102401.12915039062,102427.67333984375,70.74609088897705,289.4043273925781,26.708984375,0.0,4.401440620422363,-12.897987365722656
20150101100000,0.0,25.732421875,39.16015625,102542.9443359375,102564.32495117188,71.6295108795166,288.7113800048828,39.16015625,0.0,2.535965919494629,-13.307069778442383
20150101110000,0.0,26.318359375,41.943359375,102568.90869140625,102590.78369140625,71.54897499084473,288.7025604248047,41.943359375,0.0,1.841822624206543,-13.275253295898438
20150101160000,0.0,24.12109375,38.623046875,102535.693359375,102556.87866210938,73.16191577911377,288.74981689453125,38.623046875,0.0,0.3831958770751953,-9.724576950073242
20150102090000,0.0,22.802734375,34.814453125,102505.7861328125,102529.10766601562,70.61067962646484,290.0085754394531,34.814453125,0.0,0.9896621704101562,-9.193635940551758
20150102050000,0.0,24.560546875,37.060546875,102435.48583984375,102455.30395507812,72.28019332885742,290.00025939941406,37.060546875,0.0,2.049032211303711,-7.291163444519043
20150102100000,0.0,22.4609375,31.982421875,102525.4638671875,102541.90063476562,70.92665672302246,289.9825897216797,31.982421875,0.0,0.1287670135498047,-8.876443862915039
20150102040000,0.0,26.26953125,37.59765625,102494.47631835938,102516.26586914062,72.6317892074585,289.99867248535156,37.59765625,0.0,1.9729022979736328,-6.442334175109863
20150102030000,0.0,22.509765625,34.1796875,102546.78344726562,102574.18823242188,71.62662601470947,289.9404602050781,34.1796875,0.0,1.8281993865966797,-6.236225128173828
20150102150000,0.0,30.126953125,24.658203125,102537.67700195312,102556.50634765625,70.71851062774658,290.0297546386719,33.740234375,0.0,-1.5741558074951172,-7.192083358764648
20150102120000,0.0,24.21875,45.263671875,102587.39624023438,102614.43481445312,70.41638946533203,290.0001983642578,45.263671875,0.0,-0.2234659194946289,-8.380929946899414
