,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation
20150325030000,102941.90063476562,102923.3154296875,-3.7977705001831055,-2.4113216400146484,292.2295837402344,66.62861347198486,14.306640625,50.634765625,15.625,50.634765625,0.0
20150325040000,102883.69750976562,102857.98950195312,-3.685214042663574,-2.3831253051757812,292.34112548828125,66.26467895507812,16.650390625,46.484375,41.357421875,46.484375,0.0
20150325050000,102876.84936523438,102858.59375,-3.8426589965820312,-2.346986770629883,292.390869140625,65.95570087432861,16.40625,54.052734375,45.4833984375,54.052734375,0.0
20150325060000,102836.3525390625,102818.18237304688,-4.399944305419922,-2.3140182495117188,292.3975830078125,65.17394590377808,12.939453125,69.3359375,15.9912109375,69.3359375,0.0
20150325070000,102830.54809570312,102807.57446289062,-4.6328229904174805,-2.400289535522461,292.4617004394531,64.13596773147583,6.396484375,66.015625,5.8837890625,66.015625,0.0
20150325080000,102893.00537109375,102867.65747070312,-4.2836456298828125,-2.8873119354248047,292.54388427734375,65.0189266204834,5.95703125,84.9609375,21.2646484375,84.9609375,0.0
20150325090000,102935.26611328125,102919.17724609375,-3.969066619873047,-3.3363513946533203,292.55224609375,66.15932655334473,8.3984375,68.798828125,42.1875,68.798828125,0.05078125
20150325100000,102987.59155273438,102960.01586914062,-4.183958053588867,-3.1079463958740234,292.2686767578125,69.43013763427734,2.490234375,59.1796875,51.318359375,59.1796875,0.078125
20150325110000,103053.21044921875,103034.80834960938,-3.8186912536621094,-2.9628028869628906,292.0232238769531,71.73666000366211,0.0,62.255859375,62.6953125,62.744140625,0.03125
20150325120000,103083.79516601562,103062.1826171875,-3.573568344116211,-2.2489280700683594,292.0928192138672,72.0687198638916,0.390625,51.46484375,62.5732421875,62.548828125,0.01171875
20150325130000,103088.80615234375,103067.44995117188,-3.427689552307129,-2.0617828369140625,292.24513244628906,72.7934684753418,16.845703125,46.337890625,49.12109375,49.12109375,0.0
20150325140000,103066.93725585938,103049.88403320312,-3.982015609741211,-2.5406551361083984,292.4118347167969,71.40603923797607,19.53125,47.16796875,25.1953125,47.16796875,0.0
20150325150000,103012.2314453125,102993.40209960938,-4.2311296463012695,-2.2104053497314453,292.53456115722656,69.68997955322266,10.15625,34.912109375,51.953125,51.953125,0.0
20150325160000,102957.80029296875,102940.21606445312,-3.9414234161376953,-1.8149986267089844,292.67381286621094,70.04065799713135,8.984375,24.4140625,39.94140625,39.94140625,0.0
20150325170000,102871.94213867188,102852.9052734375,-4.20161247253418,-0.30873680114746094,292.80235290527344,71.67521286010742,17.431640625,36.9140625,25.5126953125,36.9140625,0.0
20150325180000,102821.11206054688,102793.00537109375,-5.404880523681641,-0.39015960693359375,292.82203674316406,70.3906192779541,19.091796875,33.740234375,17.0166015625,33.740234375,
20150325190000,,,,,,,,,,,
20150325200000,,,,,,,,,,,
20150325210000,,,,,,,,,,,
20150325220000,,,,,,,,,,,
20150325230000,,,,,,,,,,,
20150326000000,,,,,,,,,,,
20150326010000,,,,,,,,,,,
20150326020000,,,,,,,,,,,
