,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation,Downward short-wave radiation flux
20171213030000,102221.24633789062,102188.75732421875,-3.4452686309814453,-5.563175201416016,292.66668701171875,59.00044536590576,21.630859375,63.330078125,0.0,63.330078125,0.0,340.3127861022949
20171213040000,102193.01147460938,102162.744140625,-2.9542083740234375,-6.010128021240234,292.31817626953125,57.43856906890869,29.6875,50.830078125,0.0,50.830078125,0.0,350.397008895874
20171213050000,102116.68701171875,102089.67895507812,-3.2097835540771484,-7.045463562011719,291.98736572265625,63.717660903930664,32.666015625,48.486328125,0.0,48.486328125,0.0,314.2281723022461
20171213060000,102075.9033203125,102041.66259765625,-4.095676422119141,-7.64109992980957,292.0184326171875,65.64471340179443,22.8515625,38.330078125,0.0,38.330078125,0.0,245.875
20171213070000,102075.11596679688,102044.53735351562,-4.271788597106934,-9.044368743896484,292.31919860839844,60.855417251586914,19.287109375,31.494140625,0.0,31.494140625,0.0,121.625
20171213080000,102136.62719726562,102104.30908203125,-5.613409042358398,-8.794761657714844,291.3627471923828,72.01784896850586,22.8515625,35.107421875,0.0,35.107421875,0.0,13.125
20171213090000,102218.29833984375,102179.05883789062,-6.3871002197265625,-8.260431289672852,290.8403625488281,75.64728927612305,32.12890625,44.43359375,0.0,44.43359375,0.0,0.0
20171213100000,102283.02612304688,102249.96948242188,-6.61099910736084,-7.177152633666992,290.7572479248047,72.58678913116455,36.62109375,46.337890625,0.0,46.337890625,0.0,0.0
20171213110000,102320.39184570312,102292.333984375,-6.194751739501953,-7.134160995483398,290.8625030517578,69.12390327453613,39.501953125,47.65625,0.0,47.65625,0.0,0.0
20171213120000,102330.60913085938,102292.95043945312,-6.061481475830078,-7.129373550415039,290.87022399902344,66.9559440612793,35.791015625,45.751953125,0.0,45.751953125,0.0,0.0
20171213130000,102334.74731445312,102301.18408203125,-6.1515960693359375,-7.111413955688477,290.77806091308594,66.68016815185547,29.150390625,37.3779296875,0.0,37.353515625,0.0,0.0
20171213140000,102343.98803710938,102316.162109375,-6.24003791809082,-6.922506332397461,290.5142822265625,66.07140731811523,21.337890625,30.6640625,0.0,30.6640625,0.0,0.0
20171213150000,102336.38305664062,102305.70068359375,-6.259309768676758,-6.486360549926758,290.18568420410156,66.68425464630127,19.921875,25.146484375,0.0,25.146484375,0.0,0.0
20171213160000,102307.0068359375,102269.70825195312,-6.122276306152344,-5.683797836303711,289.9788818359375,67.10245132446289,19.677734375,23.046875,0.0,23.046875,0.0,0.0
20171213170000,102281.61010742188,102244.98901367188,-5.869945526123047,-5.586450576782227,289.81597900390625,68.959397315979,17.431640625,20.60546875,0.0,20.60546875,0.0,0.0
20171213180000,102240.32592773438,102203.75366210938,-5.682862281799316,-5.381023406982422,289.7137908935547,69.37956809997559,10.205078125,8.935546875,0.0,10.205078125,,
20171213190000,,,,,,,,,,,,
20171213200000,,,,,,,,,,,,
20171213210000,,,,,,,,,,,,
20171213220000,,,,,,,,,,,,
20171213230000,,,,,,,,,,,,
20171214000000,,,,,,,,,,,,
20171214010000,,,,,,,,,,,,
20171214020000,,,,,,,,,,,,
